Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;26;0.02742921;0.0012692101;0.0013307892;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:38:44.908612864;1145.7993;23963.576;22817.777;16944.807;193.67546106557376;5.777768;790.4651;-355.33423;-1.0;16945.91320006741;0.7426627468914737;1.0
;;27;0.028499909;0.0012799092;0.0013400912;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:47:44.891610624;814.7187;23854.963;23040.244;16868.006;162.94373292349727;7.646772;1151.3333;336.61456;-1.0;16868.793159562396;0.7321447227991398;1.0
;;28;0.030162726;0.0014627259;0.0015372746;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:09:34.893781376;903.0934;16806.723;15903.629;9703.365;117.57275657445355;6.4144745;910.36414;7.270752;-1.0;9704.07746017562;0.6101800738296902;1.0
;;29;0.031908326;0.0012783259;0.0013316758;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:21:44.900956928;956.9409;21226.69;20269.748;15009.536;166.58203125;6.2552695;810.74164;-146.19928;-1.0;15010.460538342431;0.7405351316469178;1.0
;;30;0.03310409;0.0012840889;0.0013359115;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:28:24.895654144;753.16223;21204.412;20451.25;14993.783;147.70725537909837;7.4986734;883.5171;130.35486;-1.0;14994.51077672398;0.7331830952496293;1.0
;;31;0.035018694;0.001558695;0.0016313046;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:32:24.890086016;1029.8878;9542.758;8512.87;6747.749;115.87143528005464;3.7202587;844.93176;-184.95605;-1.0;6748.743748988686;0.7927694956091201;1.0
;;32;0.037080977;0.0013109781;0.0013590232;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:35:04.890351232;617.31055;17379.666;16762.355;12289.28;121.06455985314207;7.2062488;796.56805;179.2575;-1.0;12289.876835332909;0.7331831649940178;1.0
;;33;0.039361116;0.0017111152;0.0017888844;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:26:34.901437440;698.75476;11988.012;11289.257;6921.2817;87.34434767759562;6.603425;788.10077;89.34601;-1.0;6921.832780056971;0.6131344942053626;1.0
;;34;0.041737847;0.0013378486;0.0013821498;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:04:54.893317504;611.4349;15984.654;15373.22;11302.857;115.55033299180327;6.962475;721.52954;110.094666;-1.0;11303.447964203424;0.7352687443003789;1.0
;;35;0.04329927;0.0013192706;0.0013607293;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:08:04.887666560;530.75543;16188.04;15657.284;11446.673;108.33999316939891;7.189207;770.0561;239.30066;-1.0;11447.185573498838;0.7311092678735113;1.0
;;36;0.045860246;0.0018702447;0.0019497536;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:15:24.888395776;698.2614;10360.69;9662.429;5981.747;81.17124530396175;6.0899267;731.4838;33.222412;-1.0;5982.297950709593;0.6191298409206228;1.0
;;37;0.048718724;0.0014187247;0.0014612749;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:53:14.910054528;690.5576;24070.863;23380.305;12035.432;106.55533854166667;11.566981;639.3823;-51.175293;-1.0;12035.903374494652;0.5147881319497732;1.0
;;38;0.050784446;0.0014244467;0.0014655516;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:48:34.891693440;557.08844;11993.787;11436.698;8480.889;95.53988430669399;6.357832;637.17;80.08154;-1.0;8481.426759071455;0.7415974942650241;1.0
;;39;0.05385829;0.002078291;0.0021617077;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:21:34.894974592;660.91925;9071.117;8410.198;5237.212;73.89302638319673;5.7802906;564.84503;-96.07422;-1.0;5237.733114559013;0.6227835496534829;1.0
;;40;0.057090297;0.0014802963;0.0015197024;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:14:44.888329472;484.75232;10752.6875;10267.936;7603.2983;84.38454683230874;5.9171185;496.5651;11.812775;-1.0;7603.766484561719;0.7405350812584611;1.0
;;41;0.059411068;0.0014810674;0.0015189312;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:36:04.890450560;470.82224;21540.117;21069.295;10770.059;83.23039937670765;12.972541;560.94055;90.11832;-1.0;10770.380090757262;0.5111884441645466;1.0
;;42;0.06295196;0.0024119578;0.0025080442;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:22:34.889108352;496.58273;7679.5474;7182.965;4433.789;58.93352971311475;6.5382977;575.96606;79.38333;-1.0;4434.180776752843;0.6173190142523232;1.0
;;43;0.06669104;0.0015710443;0.0016089529;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:57:24.892571776;532.0094;9735.771;9203.762;6884.23;84.11806800717213;5.7380996;554.3981;22.388672;-1.0;6884.743993015663;0.7480358796110498;1.0
;;44;0.07083422;0.002874218;0.0029957816;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:06:14.893449984;546.2308;6380.44;5834.209;3683.7488;56.33940082821038;5.352849;519.88776;-26.343018;-1.0;3684.179573268068;0.6314788488267947;1.0
;;45;0.075320594;0.0016905963;0.0017294064;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:27:04.889555840;526.62463;8201.898;7675.274;5799.6177;76.81609673838798;4.91319;478.4441;-48.180542;-1.0;5800.1262669633425;0.7556898063899341;1.0
;;46;0.078380466;0.0017304644;0.0017695352;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:39:14.902696832;568.7521;12244.897;11676.1455;7069.5947;79.64121734118852;7.897216;697.2788;128.52673;-1.0;7070.043191063233;0.605511740696677;1.0
;;47;0.08314493;0.0032249317;0.003355071;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:13:04.888163840;686.039;5663.69;4977.651;3269.9329;59.48712324965847;4.4756565;629.2989;-56.740112;-1.0;3270.47392862755;0.6570316014903356;1.0
