Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;18;24.084867;0.96486664;1.0051327;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:16:00;0.00050803076;0.061979756;0.061471727;0.0438263068596522;0.0005080307849117967;15.492463;0.003857661;0.0033496302;0.8441933393478394;0.04382925128535526;0.712998537797843;1.0
;;19;26.123705;1.0337048;1.0762959;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:58:00;0.0;0.08776549;0.08776549;0.05067142844200134;0.0;inf;0.0035203309;0.0035203309;inf;0.05067142844200134;0.5773502432365551;1.0
;;20;28.297846;1.0978451;1.1421547;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:26:00;0.0;0.05531953;0.05531953;0.039116814732551575;0.0;inf;0.0017215622;0.0017215622;inf;0.039116814732551575;0.7071067924970722;1.0
;;21;30.678932;1.2389317;1.291069;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:30:00;0.0;0.074296415;0.074296415;0.04289505879084269;0.0;inf;0.0026717936;0.0026717936;inf;0.04289505879084269;0.5773503186689204;1.0
;;22;33.39332;1.4233189;1.4866829;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:56:00;0.0;0.021056531;0.021056531;0.02105653037627538;0.0;inf;0.0013979438;0.0013979438;inf;0.02105653037627538;0.9999999705135799;1.0
;;23;36.35866;1.4786606;1.5413399;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;0.040579144;0.040579144;0.028693787753582;0.0;inf;0.0018521602;0.0018521602;inf;0.028693787753582;0.7071067791890869;1.0
;;24;39.505974;1.6059723;1.6740265;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:47:00;0.000317939;0.038788557;0.03847062;0.02742765098810196;0.0003179389922345271;15.492462;0.0013680612;0.0010501222;0.42289358377456665;0.027429493687049958;0.7129985118186132;1.0
;;25;43.042866;1.8628654;1.9471359;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:57:00;0.0;0.032283787;0.032283787;0.022828084727128346;0.0;inf;0.0014065551;0.0014065551;inf;0.022828084727128346;0.7071067886298428;1.0
;;26;46.985737;1.9957352;2.0842628;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:59:00;0.0;0.030484831;0.030484831;0.021556029717127483;0.0;inf;0.00082220504;0.00082220504;inf;0.021556029717127483;0.7071067490899099;1.0
;;27;51.17965;2.1096497;2.2003517;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:32:00;0.0004748543;0.028966114;0.02849126;0.020482135315736134;0.0003357727144422222;10.955974;0.0010817222;0.0006068679;0.2333637923002243;0.020484887366248546;0.7189884553493981;1.0
;;28;55.65646;2.2764587;2.3735428;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:28:00;0.0;0.01342408;0.01342408;0.013424079865217209;0.0;inf;0.0006127173;0.0006127173;inf;0.013424079865217209;1.0;1.0
;;29;60.511925;2.481926;2.5880737;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:24:00;0.0;0.012312026;0.012312026;0.012312026073535284;0.0;inf;0.0005619597;0.0005619597;inf;0.012312026073535284;1.0000000252144419;1.0
;;30;65.96974;2.8697433;3.0002594;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:00;0.00017432898;0.021268135;0.021093806;0.015038841714461645;0.00017432896980170996;15.492462;0.00066187145;0.00048754248;0.358078271150589;0.01503985208379204;0.7129984936904928;1.0
;;31;71.974556;3.0045547;3.1354446;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:21:00;0.00032840614;0.010016387;0.009687982;0.010016387328505516;0.0002322182099336806;5.386687;0.00029093242;-3.7473714e-05;-1.0;0.010019078820513923;1.0341760819736914;1.0
;;32;78.30696;3.1969604;3.3330383;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:32:00;0.0003157838;0.0096314065;0.009315623;0.009631406515836716;0.00022329288064630953;5.386687;0.00031971475;3.930938e-06;-1.0;0.009633994560090288;1.0341760922096077;1.0
;;33;85.4606;3.8206024;3.9993973;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:21:00;0.00041104865;0.00835799;0.007946941;0.008357989291350046;0.0002373190508481127;4.360779;0.00041616545;5.1168026e-06;-1.0;0.008361357863781307;1.0521479635823199;1.0
;;34;93.455765;3.9957657;4.1742325;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:36:00;0.00012813162;0.007816029;0.007687897;0.007816029091676077;0.0001281316244537062;7.6822124;0.00016215826;3.402664e-05;-1.0;0.007817079280339423;1.0168033371576775;1.0
