Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;36;0.59702414;0.023604155;0.02457583;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:05:00;0.0;22.863518;22.863518;22.863517252604165;0.0;inf;0.66408557;0.66408557;inf;22.863517252604165;0.9999999777538037;1.0
;;37;0.6485795;0.026979506;0.028150499;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:32:00;0.9464027;19.243523;18.29712;19.243522135416665;0.5464058697560329;4.36077880859375;0.3992432;-0.54715955;-1.0;19.25127797188475;1.0521480361977442;1.0
;;38;0.7077108;0.030980825;0.032399178;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:28:00;0.28102264;17.142382;16.861359;17.14238077799479;0.28102263570483266;7.6822123527526855;0.42678127;0.14575863;-1.0;17.144684087481572;1.0168032393420539;1.0
;;39;0.7712403;0.031130314;0.03243971;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:46:00;0.2753365;16.795527;16.52019;16.79552714029948;0.2753365104967128;7.682212829589844;0.20907295;-0.06626356;-1.0;16.797783845333555;1.016803352265619;1.0
;;40;0.83869237;0.035012364;0.036537647;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:33:00;0.24620534;15.018526;14.772321;15.018526204427083;0.24620534761355872;7.682212829589844;0.43622276;0.19001742;-1.0;15.020544145478102;1.0168032770441107;1.0
;;41;0.91183454;0.036604524;0.03813547;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:15:00;0.0;14.331315;14.331315;14.331315104166666;0.0;inf;0.2973302;0.2973302;inf;14.331315104166666;1.000000004436319;1.0
;;42;0.9911859;0.041215897;0.043004155;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:26:00;0.0;12.959685;12.959685;12.959685262044271;0.0;inf;0.21509852;0.21509852;inf;12.959685262044271;0.9999999950941488;1.0
;;43;1.0807327;0.046542645;0.04863739;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:22:00;0.0;11.231997;11.231997;11.231996663411458;0.0;inf;0.13981739;0.13981739;inf;11.231996663411458;1.0000000113209235;1.0
;;44;1.176583;0.047213078;0.049186945;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.18464328;0.0;-0.18464328;0.0;0.1846432711908726;-1.0;0.0;-0.18464328;-1.0;0.1846432711908726;0.9999999334094724;1.0
;;45;1.2804648;0.05469477;0.057135224;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:42:00;0.0;9.640086;9.640086;9.640085856119791;0.0;inf;0.16000143;0.16000143;inf;9.640085856119791;0.9999999670240044;1.0
;;46;1.3994213;0.06182134;0.06467867;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:25:00;0.0;8.418677;8.418677;8.418677775065104;0.0;inf;0.06986454;0.06986454;inf;8.418677775065104;1.000000052864363;1.0
;;47;1.5273871;0.06328714;0.06602287;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:23:00;0.0;8.402166;8.402166;8.402166239420573;0.0;inf;0.069727525;0.069727525;inf;8.402166239420573;0.9999999848662156;1.0
;;48;1.6637475;0.070337534;0.07344246;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:56:00;0.0;7.4737487;7.4737487;7.473748779296875;0.0;inf;0.093034215;0.093034215;inf;7.473748779296875;1.0000000127603208;1.0
;;49;1.8104118;0.0732218;0.07630813;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:02:00;0.0;7.1084414;7.1084414;7.108441162109375;0.0;inf;0.058991216;0.058991216;inf;7.108441162109375;0.9999999731678361;1.0
;;50;1.9684402;0.08172023;0.085259795;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.10515861;6.414675;6.3095164;6.414675394694011;0.10515861302777067;7.682212829589844;0.05323382;-0.05192479;-1.0;6.415537292634709;1.0168033261996352;1.0
;;51;2.148588;0.09488797;0.09927201;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:37:00;0.0;5.651077;5.651077;5.6510767618815105;0.0;inf;0.046896905;0.046896905;inf;5.6510767618815105;0.999999994374675;1.0
;;52;2.34077;0.09291005;0.09675002;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:58:00;0.0;5.6259;5.6259;5.6258997599283855;0.0;inf;0.07003195;0.07003195;inf;5.6258997599283855;0.9999999943495005;1.0
;;53;2.5464032;0.10888314;0.11374688;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;1.0
;;54;2.7874777;0.12732768;0.13342237;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:27:00;0.0;4.2106843;4.2106843;4.210684204101563;0.0;inf;0.06988688;0.06988688;inf;4.210684204101563;0.9999999773510849;1.0
;;55;3.0440922;0.12319207;0.12838793;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:55:00;0.069350734;4.230395;4.161044;4.230394744873047;0.06935073352250896;7.682212829589844;0.052660517;-0.016690217;-1.0;4.230963155321682;1.0168032427687541;1.0
;;56;3.3135726;0.14109254;0.14736748;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:47:00;0.0;3.7493892;3.7493892;3.749389139811198;0.0;inf;0.062230527;0.062230527;inf;3.749389139811198;0.999999991521514;1.0
;;57;3.6083505;0.14741063;0.15368938;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:48:00;0.0;3.557365;3.557365;3.557364908854167;0.0;inf;0.044282548;0.044282548;inf;3.557364908854167;0.9999999910638508;1.0
;;58;3.9270558;0.16501594;0.17225409;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:20:00;0.0;3.2319422;3.2319422;3.2319422403971356;0.0;inf;0.053642195;0.053642195;inf;3.2319422403971356;1.000000019671852;1.0
;;59;4.2864485;0.18713856;0.19568157;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:55:00;0.0;8.470148;8.470148;4.890242004394532;0.0;inf;0.08200697;0.08200697;inf;4.890242004394532;0.5773502369056726;1.0
;;60;4.672104;0.18997383;0.19802618;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:08:00;0.0;2.8466086;2.8466086;2.8466087341308595;0.0;inf;0.07086992;0.07086992;inf;2.8466087341308595;1.0000000335021226;1.0
;;61;5.0875616;0.21743155;0.22713852;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:30:00;0.0;2.4296443;2.4296443;2.4296442667643228;0.0;inf;0.080652095;0.080652095;inf;2.4296442667643228;0.999999967290332;1.0
;;62;5.567431;0.25273085;0.26474905;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:44:00;0.0;4.2183843;4.2183843;2.9828478495279946;0.0;inf;0.11377385;0.11377385;inf;2.9828478495279946;0.7071067170529189;1.0
;;63;5.9800406;0.14786053;0.15160942;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:52:00;0.0;3.57443;3.57443;3.5744300842285157;0.0;inf;0.014831659;0.014831659;inf;3.5744300842285157;1.0000000266804587;1.0
